step,midprice,bid,ask,inventory,cash,pnl,risk_adjusted_pnl,fills,adverse_selection_cost,incoming_order
0,100.00914151239263,99.94,100.06,0,0.0,0.0,0.0,0,0.0,
1,100.03165504826683,99.94914151239263,100.06914151239263,0,0.0,0.0,0.0,0,0.0,
2,99.97312399260721,99.97165504826683,100.09165504826683,0,0.0,0.0,0.0,0,0.0,
3,99.97695920470223,99.91312399260721,100.03312399260722,0,0.0,0.0,0.0,0,0.0,
4,99.9764551699771,99.91695920470222,100.03695920470223,0,0.0,0.0,0.0,0,0.0,
5,100.00283710922298,99.9164551699771,100.0364551699771,0,0.0,0.0,0.0,0,0.0,
6,100.00481803014982,99.94283710922298,100.06283710922298,0,0.0,0.0,0.0,0,0.0,
7,100.01884331041738,99.94481803014982,100.06481803014982,0,0.0,0.0,0.0,0,0.0,buy
8,100.01734553308779,99.95884331041738,100.07884331041738,0,0.0,0.0,0.0,0,0.0,
9,99.99691764675568,99.95734553308779,100.0773455330878,0,0.0,0.0,0.0,0,0.0,
10,99.99228176229362,99.93691764675567,100.05691764675568,0,0.0,0.0,0.0,0,0.0,
11,99.98171775577897,99.93228176229361,100.05228176229362,0,0.0,0.0,0.0,0,0.0,
12,99.99268107770989,99.92171775577897,100.04171775577898,0,0.0,0.0,0.0,0,0.0,sell
13,99.97731379583774,99.93268107770989,100.05268107770989,-1,100.0506810777099,0.07336728187215158,0.07286728187215158,1,0.0,buy
14,99.95210910152886,99.91731379583774,100.03731379583775,-1,100.0506810777099,0.09857197618103442,0.09807197618103441,1,0.0,buy
15,99.91697324641798,99.89210910152886,100.01210910152886,0,0.15657197618104135,0.15657197618104135,0.15657197618104135,2,0.035135855110876114,sell
16,99.92353390431985,99.85697324641798,99.97697324641798,0,0.15657197618104135,0.15657197618104135,0.15657197618104135,2,0.035135855110876114,
17,99.9302417707831,99.86353390431985,99.98353390431986,0,0.15657197618104135,0.15657197618104135,0.15657197618104135,2,0.035135855110876114,buy
18,99.94918041755825,99.8702417707831,99.9902417707831,0,0.15657197618104135,0.15657197618104135,0.15657197618104135,2,0.035135855110876114,
19,99.93959028106754,99.88918041755825,100.00918041755826,0,0.15657197618104135,0.15657197618104135,0.15657197618104135,2,0.035135855110876114,
20,99.92042394562024,99.87959028106754,99.99959028106754,0,0.15657197618104135,0.15657197618104135,0.15657197618104135,2,0.035135855110876114,sell
21,99.949472296258,99.86042394562024,99.98042394562025,0,0.15657197618104135,0.15657197618104135,0.15657197618104135,2,0.035135855110876114,
22,99.93942574535842,99.88947229625799,100.009472296258,0,0.15657197618104135,0.15657197618104135,0.15657197618104135,2,0.035135855110876114,
23,99.9570124152992,99.87942574535842,99.99942574535842,0,0.15657197618104135,0.15657197618104135,0.15657197618104135,2,0.035135855110876114,
24,99.9808128323552,99.8970124152992,100.0170124152992,-1,100.17158439148025,0.1907715591250536,0.1902715591250536,3,0.058936272166873874,buy
25,99.94254224265507,99.9208128323552,100.0408128323552,0,0.24877155912506055,0.24877155912506055,0.24877155912506055,4,0.09720686186701152,sell
26,99.94681501473718,99.88254224265506,100.00254224265507,0,0.24877155912506055,0.24877155912506055,0.24877155912506055,4,0.09720686186701152,
27,99.93399743534708,99.88681501473718,100.00681501473719,0,0.24877155912506055,0.24877155912506055,0.24877155912506055,4,0.09720686186701152,
28,99.9527651471661,99.87399743534708,99.99399743534708,0,0.24877155912506055,0.24877155912506055,0.24877155912506055,4,0.09720686186701152,
29,99.96646840429283,99.8927651471661,100.0127651471661,-1,100.25953670629117,0.2930683019983462,0.2925683019983462,5,0.11091011899373386,buy
30,99.93059321492515,99.90646840429282,100.02646840429283,-1,100.25953670629117,0.32894349136601875,0.32844349136601875,5,0.11091011899373386,
31,99.91651114471907,99.87059321492515,99.99059321492516,-1,100.25953670629117,0.3430255615721052,0.3425255615721052,5,0.11091011899373386,
32,99.93093354448624,99.85651114471906,99.97651114471907,-1,100.25953670629117,0.328603161804935,0.328103161804935,5,0.11091011899373386,
33,99.95089509775542,99.87093354448623,99.99093354448624,0,0.3866031618049419,0.3866031618049419,0.3866031618049419,6,0.11091011899373386,sell
34,99.90748172358273,99.89089509775542,100.01089509775542,0,0.3866031618049419,0.3866031618049419,0.3866031618049419,6,0.11091011899373386,sell
35,99.89613684696155,99.84748172358273,99.96748172358274,0,0.3866031618049419,0.3866031618049419,0.3866031618049419,6,0.11091011899373386,
36,99.88544892782971,99.83613684696155,99.95613684696156,0,0.3866031618049419,0.3866031618049419,0.3866031618049419,6,0.11091011899373386,
37,99.85744039742941,99.82544892782971,99.94544892782972,0,0.3866031618049419,0.3866031618049419,0.3866031618049419,6,0.11091011899373386,sell
38,99.88264964155313,99.79744039742941,99.91744039742942,1,-99.41283723562447,0.46981240592866413,0.46931240592866413,7,0.11091011899373386,sell
39,99.83926790592147,99.82264964155313,99.94264964155313,1,-99.41283723562447,0.4264306702970089,0.4259306702970089,7,0.11091011899373386,
40,99.82338312464957,99.77926790592147,99.89926790592148,1,-99.41283723562447,0.4105458890251015,0.4100458890251015,7,0.11091011899373386,
41,99.82403868901527,99.76338312464956,99.88338312464957,1,-99.41283723562447,0.4112014533908024,0.4107014533908024,7,0.11091011899373386,
42,99.81685802019108,99.76403868901527,99.88403868901527,1,-99.41283723562447,0.4040207845666117,0.4035207845666117,7,0.11091011899373386,buy
43,99.84191135756852,99.75685802019107,99.87685802019108,1,-99.41283723562447,0.4290741219440548,0.4285741219440548,7,0.11091011899373386,buy
44,99.82271881158603,99.78191135756852,99.90191135756852,1,-99.41283723562447,0.40988157596156327,0.40938157596156327,7,0.11091011899373386,
45,99.81102451749136,99.76271881158603,99.88271881158603,1,-99.41283723562447,0.3981872818668961,0.3976872818668961,7,0.11091011899373386,buy
46,99.78055714505514,99.75102451749136,99.87102451749136,1,-99.41283723562447,0.3677199094306758,0.3672199094306758,7,0.11091011899373386,
47,99.80570094209197,99.72055714505514,99.84055714505514,1,-99.41283723562447,0.3928637064675087,0.3923637064675087,7,0.11091011899373386,
48,99.8931168160722,99.74570094209197,99.86570094209198,1,-99.41283723562447,0.48027958044772845,0.47977958044772845,7,0.11091011899373386,
49,99.86343067247124,99.83311681607219,99.9531168160722,1,-99.41283723562447,0.45059343684677344,0.45009343684677344,7,0.11091011899373386,
50,99.87146201634155,99.80343067247124,99.92343067247124,0,0.5085934368467804,0.5085934368467804,0.5085934368467804,8,0.11894146286404894,buy
51,99.90344142326518,99.81146201634155,99.93146201634156,0,0.5085934368467804,0.5085934368467804,0.5085934368467804,8,0.11894146286404894,
52,99.89868237815402,99.84344142326518,99.96344142326518,0,0.5085934368467804,0.5085934368467804,0.5085934368467804,8,0.11894146286404894,
53,99.84844188981289,99.83868237815402,99.95868237815402,0,0.5085934368467804,0.5085934368467804,0.5085934368467804,8,0.11894146286404894,
54,99.84682841328834,99.78844188981289,99.90844188981289,0,0.5085934368467804,0.5085934368467804,0.5085934368467804,8,0.11894146286404894,
55,99.85073664893252,99.78682841328833,99.90682841328834,-1,100.41342185013512,0.5626852012025978,0.5621852012025979,9,0.12284969850823552,buy
56,99.82897986699645,99.79073664893252,99.91073664893253,0,0.6206852012026047,0.6206852012026047,0.6206852012026047,10,0.14460648044430813,sell
57,99.85692705738268,99.76897986699645,99.88897986699645,0,0.6206852012026047,0.6206852012026047,0.6206852012026047,10,0.14460648044430813,buy
58,99.87030922342714,99.79692705738267,99.91692705738268,0,0.6206852012026047,0.6206852012026047,0.6206852012026047,10,0.14460648044430813,sell
59,99.91768196111946,99.81030922342714,99.93030922342714,0,0.6206852012026047,0.6206852012026047,0.6206852012026047,10,0.14460648044430813,
60,99.91412281133616,99.85768196111945,99.97768196111946,0,0.6206852012026047,0.6206852012026047,0.6206852012026047,10,0.14460648044430813,
61,99.95330286358737,99.85412281133615,99.97412281133616,0,0.6206852012026047,0.6206852012026047,0.6206852012026047,10,0.14460648044430813,
62,99.94097504666236,99.89330286358737,100.01330286358737,0,0.6206852012026047,0.6206852012026047,0.6206852012026047,10,0.14460648044430813,sell
